TIME;COSTA-RICA;OECD;SELF-EMPL_MEN-WOMEN_RATIO
2010;9.3333333333;14.0200810629817;2.0
2011;9.7230769231;13.8468613348929;2.1
2012;10.089285714;13.9698569878694;1.9
2013;9.7222222222;13.8646647144289;2.0
2014;12.307692308;13.8279590961627;1.9
2015;9.0909090909;13.9388684579009;1.9
2016;6.25000;13.4533949889541;2.1
2017;6.5868263473;12.9594524655285;2.0
2018;8.4507042254;13.0176372775592;1.9
2019;6.529209622;13.023612410128;1.8
2020;3.0303030303;11.8662863277818;2.0

2021;5.2036199095;11.9329258987216;2.0
