reference_area,sex,year,total,0,1-14,15-24,15-29,<25,25-34,30-34,35-39,40-48,40+,49+,not_classiefied,,,
Afghanistan,Total,2012,6419.6,84.8,449.9,,1151.3,,,463.6,496.0,1606.2,,2167.8,,,,
Afghanistan,Male,2012,5358.2,69.8,242.3,,766.2,,,405.3,379.2,1483.7,,2011.6,,,,
Afghanistan,Female,2012,1061.5,15.0,207.6,,385.1,,,58.2,116.8,122.5,,156.2,,,,
Afghanistan,Total,2014,7003.0,,1157.1,,1462.4,,,439.2,490.9,1306.5,,1950.9,196.0,,,
Afghanistan,Male,2014,5318.8,,555.8,,922.0,,,373.8,373.5,1150.5,,1787.9,155.3,,,
Afghanistan,Female,2014,1684.2,,601.3,,540.5,,,65.4,117.3,156.0,,162.9,40.8,,,
Afghanistan,Total,2020,6078.5,1.8,777.7,,1047.1,,,307.4,407.7,1201.9,,2109.5,225.5,,,
Afghanistan,Male,2020,4937.8,1.7,364.3,,710.8,,,257.2,315.6,1089.6,,2015.2,183.5,,,
Afghanistan,Female,2020,1140.7,,413.4,,336.3,,,50.2,92.1,112.4,,94.3,42.0,,,
Afghanistan,Total,2021,7699.8,201.3,364.0,,801.9,,,392.9,360.5,1190.6,,1257.7,3130.9,,,
Afghanistan,Male,2021,5868.2,182.6,227.0,,557.6,,,302.8,306.2,1100.3,,1236.4,1955.4,,,
Afghanistan,Female,2021,1831.6,18.7,137.0,,244.3,,,90.1,54.3,90.3,,21.3,1175.5,,,
Albania,Total,2011,1159.5,,63.3,,232.2,,,276.8,47.9,380.8,,125.4,33.0,,,
Albania,Male,2011,648.2,,29.1,,99.7,,,151.1,24.9,232.4,,91.6,19.4,,,
Albania,Female,2011,511.2,,34.2,,132.5,,,125.7,23.0,148.5,,33.8,13.6,,,
Albania,Total,2012,1133.8,,45.5,,218.2,,,64.5,229.2,328.6,,205.2,42.5,,,
Albania,Male,2012,633.5,,19.5,,100.4,,,26.6,129.0,192.4,,138.5,27.2,,,
Albania,Female,2012,500.4,,26.1,,117.8,,,38.0,100.2,136.2,,66.8,15.3,,,
Albania,Total,2013,1024.1,,41.2,,140.6,,,83.5,51.1,410.0,,263.1,34.7,,,
Albania,Male,2013,563.2,,18.0,,60.8,,,40.2,23.5,223.8,,175.8,21.1,,,
Albania,Female,2013,461.0,,23.1,,79.8,,,43.3,27.6,186.2,,87.3,13.6,,,
Albania,Total,2014,1024.1,18.1,48.9,,168.8,,,86.2,44.5,466.3,,179.5,11.8,,,
Albania,Male,2014,578.5,11.9,20.5,,72.8,,,45.0,24.9,265.9,,130.2,7.2,,,
Albania,Female,2014,445.6,6.2,28.3,,96.1,,,41.2,19.6,200.4,,49.3,4.6,,,
Albania,Total,2015,1082.0,21.9,42.7,,169.8,,,92.2,46.5,505.0,,195.3,8.5,,,
Albania,Male,2015,618.0,11.3,18.0,,79.2,,,50.3,26.5,284.1,,142.8,5.8,,,
Albania,Female,2015,464.0,10.6,24.7,,90.6,,,41.9,20.0,220.9,,52.6,2.7,,,
Albania,Total,2016,1151.0,,37.1,,152.4,,,107.8,56.3,554.1,,216.5,26.7,,,
Albania,Male,2016,646.8,,16.7,,75.4,,,56.9,27.5,297.8,,156.6,15.8,,,
Albania,Female,2016,504.2,,20.4,,77.0,,,50.9,28.8,256.3,,59.9,10.9,,,
Albania,Total,2017,1191.7,25.1,34.1,,132.2,,,91.4,48.5,598.3,,260.4,1.6,,,
Albania,Male,2017,677.1,14.0,14.3,,63.7,,,46.5,24.5,327.7,,185.4,1.2,,,
Albania,Female,2017,514.6,11.1,19.8,,68.6,,,44.9,24.0,270.7,,75.1,0.4,,,
Albania,Total,2018,1229.0,20.2,28.4,,138.0,,,74.4,40.1,661.9,,262.0,3.9,,,
Albania,Male,2018,689.4,9.0,12.5,,60.6,,,38.5,19.8,358.1,,188.2,2.8,,,
Albania,Female,2018,539.5,11.2,16.0,,77.4,,,35.9,20.3,303.8,,73.9,1.1,,,
Albania,Total,2019,1264.7,14.8,28.7,,126.5,,,75.1,35.9,704.1,,278.6,0.9,,,
Albania,Male,2019,702.2,5.4,12.0,,53.5,,,36.8,17.1,381.3,,195.3,0.7,,,
Albania,Female,2019,562.5,9.4,16.7,,73.0,,,38.3,18.8,322.9,,83.3,0.2,,,
Algeria,Total,2014,10239.0,,166.0,,1163.0,,,695.0,819.0,5411.0,,1985.0,,,,
Algeria,Male,2014,8517.0,,93.0,,742.0,,,555.0,667.0,4560.0,,1900.0,,,,
Algeria,Female,2014,1722.0,,73.0,,421.0,,,140.0,152.0,852.0,,85.0,,,,
Algeria,Total,2017,10858.3,,230.3,,1131.9,,,743.3,773.2,5155.6,,2823.9,,,,
Algeria,Male,2017,8892.9,,137.9,,718.8,,,536.7,623.5,4213.6,,2662.4,,,,
Algeria,Female,2017,1965.3,,92.3,,413.1,,,206.7,149.8,942.0,,161.5,,,,
Angola,Total,2019,10213.4,252.2,635.4,,1541.1,,,887.7,1040.1,2330.9,,3275.3,250.5,,,
Angola,Male,2019,5029.8,105.3,282.3,,687.1,,,385.9,459.0,1174.5,,1842.6,93.0,,,
Angola,Female,2019,5183.6,147.0,353.1,,854.0,,,501.8,581.1,1156.4,,1432.7,157.5,,,
Angola,Total,2021,11108.5,412.6,604.6,,1671.0,,,813.6,1092.9,2775.8,,3505.1,232.9,,,
Angola,Male,2021,5447.9,159.5,272.9,,766.1,,,359.3,496.5,1361.3,,1926.2,106.1,,,
Angola,Female,2021,5660.7,253.1,331.7,,904.9,,,454.3,596.4,1414.5,,1578.9,126.8,,,
Argentina,Total,2011,10765.7,438.2,678.5,,1468.2,,,871.4,660.4,3959.0,,2690.0,,,,
Argentina,Male,2011,6324.4,215.8,216.6,,540.2,,,397.9,319.6,2622.4,,2011.9,,,,
Argentina,Female,2011,4441.3,222.4,461.8,,928.0,,,473.5,340.8,1336.6,,678.1,,,,
Argentina,Total,2012,10843.6,456.7,731.6,,1548.8,,,872.0,638.5,4007.4,,2588.4,,,,
Argentina,Male,2012,6333.4,229.6,233.5,,554.9,,,391.8,312.9,2668.4,,1942.3,,,,
Argentina,Female,2012,4510.2,227.1,498.1,,993.9,,,480.3,325.6,1339.0,,646.1,,,,
Argentina,Total,2013,10942.8,470.3,729.3,,1525.9,,,904.3,675.6,4129.4,,2508.0,,,,
Argentina,Male,2013,6396.9,211.6,240.7,,555.3,,,412.8,335.8,2763.9,,1876.8,,,,
Argentina,Female,2013,4545.9,258.7,488.6,,970.5,,,491.5,339.8,1365.5,,631.3,,,,
Argentina,Total,2014,11047.2,482.8,733.7,,1638.7,,,919.7,688.6,4208.6,,2375.2,,,,
Argentina,Male,2014,6439.6,217.5,234.5,,599.6,,,417.1,349.5,2853.8,,1767.6,,,,
Argentina,Female,2014,4607.7,265.2,499.2,,1039.1,,,502.6,339.1,1354.8,,607.6,,,,
Argentina,Total,2017,11568.2,490.7,934.5,,1840.4,,,1053.3,711.6,4185.7,,2352.1,,,,
Argentina,Male,2017,6635.4,235.2,322.8,,735.7,,,495.5,362.4,2768.7,,1714.9,,,,
Argentina,Female,2017,4932.8,255.5,611.6,,1104.7,,,557.7,349.2,1417.0,,637.2,,,,
Argentina,Total,2018,11744.7,518.1,980.6,,1901.5,,,1037.7,714.2,4179.0,,2413.7,,,,
Argentina,Male,2018,6634.3,244.4,329.0,,720.7,,,484.0,370.2,2754.0,,1731.9,,,,
Argentina,Female,2018,5110.4,273.7,651.6,,1180.8,,,553.7,343.9,1425.0,,681.7,,,,
Argentina,Total,2019,12041.1,529.0,1114.5,,2058.6,,,1054.3,766.7,4119.9,,2398.1,,,,
Argentina,Male,2019,6797.8,252.5,384.3,,828.8,,,499.5,402.8,2737.5,,1692.4,,,,
Argentina,Female,2019,5243.3,276.5,730.2,,1229.8,,,554.8,363.9,1382.4,,705.7,,,,
Argentina,Total,2020,10936.5,1275.7,1133.9,,1927.0,,,964.9,679.8,3252.6,,1702.6,,,,
Argentina,Male,2020,6151.3,623.3,437.7,,874.4,,,483.3,386.7,2176.0,,1169.9,,,,
Argentina,Female,2020,4785.3,652.4,696.2,,1052.7,,,481.5,293.1,1076.6,,532.7,,,,
Argentina,Total,2021,12241.6,613.9,1104.3,,2044.4,,,1136.2,796.2,4228.7,,2318.0,,,,
Argentina,Male,2021,6960.7,285.5,381.5,,839.5,,,576.7,428.4,2820.0,,1628.9,,,,
Argentina,Female,2021,5280.9,328.4,722.7,,1205.0,,,559.5,367.7,1408.7,,689.0,,,,
Armenia,Total,2011,1175.1,57.5,115.5,,240.9,,,66.4,50.1,430.4,,214.4,,,,
Armenia,Male,2011,610.9,27.2,43.4,,92.4,,,27.1,21.5,246.3,,152.9,,,,
Armenia,Female,2011,564.2,30.4,72.0,,148.5,,,39.2,28.5,184.1,,61.4,,,,
Armenia,Total,2012,1173.6,48.7,143.3,,182.8,,,44.5,49.5,470.2,,234.6,,,,
Armenia,Male,2012,605.0,22.9,54.8,,66.2,,,19.0,19.7,259.1,,163.4,,,,
Armenia,Female,2012,568.6,25.8,88.5,,116.6,,,25.5,29.8,211.1,,71.2,,,,
Armenia,Total,2013,1163.6,54.9,124.2,,180.2,,,55.9,43.9,476.0,,228.6,,,,
Armenia,Male,2013,607.4,20.7,43.0,,69.1,,,24.7,15.0,272.7,,162.1,,,,
Armenia,Female,2013,556.3,34.2,81.2,,111.1,,,31.1,28.9,203.3,,66.5,,,,
Armenia,Total,2014,1133.5,47.8,48.9,,192.9,,,73.2,63.1,471.7,,236.0,,,,
Armenia,Male,2014,589.4,26.6,17.7,,69.2,,,28.1,23.4,256.1,,168.4,,,,
Armenia,Female,2014,544.1,21.1,31.1,,123.8,,,45.2,39.7,215.6,,67.6,,,,
Armenia,Total,2015,1072.6,64.6,71.1,,198.4,,,61.7,47.6,468.6,,160.8,,,,
Armenia,Male,2015,562.3,31.2,21.2,,72.6,,,27.0,23.0,273.3,,113.9,,,,
Armenia,Female,2015,510.4,33.4,49.9,,125.7,,,34.6,24.6,195.2,,46.9,,,,
Armenia,Total,2016,1006.2,57.0,74.6,,178.4,,,48.9,42.2,457.3,,147.7,,,,
Armenia,Male,2016,528.2,24.6,25.6,,65.6,,,21.4,17.9,267.8,,105.3,,,,
Armenia,Female,2016,478.0,32.4,49.0,,112.8,,,27.5,24.3,189.5,,42.4,,,,
Armenia,Total,2017,1011.7,70.3,73.1,,141.2,,,48.8,57.9,475.3,,145.1,,,,
Armenia,Male,2017,529.8,30.7,22.8,,53.8,,,19.3,27.3,276.0,,100.0,,,,
Armenia,Female,2017,481.9,39.6,50.4,,87.4,,,29.5,30.6,199.3,,45.2,,,,
Armenia,Total,2018,1322.6,41.1,45.2,,123.7,,,47.7,91.6,483.9,,142.9,346.4,,,
Armenia,Male,2018,660.6,18.7,14.9,,47.1,,,21.6,44.5,281.3,,104.5,128.1,,,
Armenia,Female,2018,662.0,22.4,30.3,,76.6,,,26.1,47.1,202.7,,38.4,218.3,,,
Armenia,Total,2019,1372.3,29.6,41.2,,112.1,,,38.9,71.6,555.5,,182.7,340.7,,,
Armenia,Male,2019,670.9,10.8,13.0,,42.7,,,16.1,32.7,314.9,,131.9,108.9,,,
Armenia,Female,2019,701.4,18.8,28.2,,69.4,,,22.9,39.0,240.6,,50.7,231.8,,,
Armenia,Total,2020,1364.2,74.0,42.5,,121.2,,,29.4,69.9,544.8,,151.2,331.2,,,
Armenia,Male,2020,641.9,29.0,13.8,,46.1,,,11.6,32.7,298.9,,111.8,97.9,,,
Armenia,Female,2020,722.3,45.0,28.7,,75.1,,,17.8,37.2,245.9,,39.4,233.3,,,
Armenia,Total,2021,1422.1,38.8,36.0,,120.3,,,33.0,65.5,591.7,,170.1,366.7,,,
