Ingredient,Qty,Principle,Rounded %,From last week %,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday
Hash brown,18,Forecasted,+8.87%,+24.14%,2.48,2.48,1.65,3.31,3.31,2.48,1.65
Ketchup,13,Forecasted,+5.31%,+20.07%,1.85,1.85,1.23,2.47,2.47,1.85,1.23
Coca cola zero,14,Par level,+9.36%,+5.99%,1.92,1.92,1.28,2.56,2.56,1.92,1.28
Wrap,62,Forecasted,+5.05%,+3.59%,8.85,8.85,5.9,11.8,11.8,8.85,5.9
Chicken,24,Forecasted,+7.02%,+11.83%,3.36,3.36,2.24,4.49,4.49,3.36,2.24
Lettuce,62,Forecasted,+6.43%,+11.21%,8.74,8.74,5.83,11.65,11.65,8.74,5.83
Pickled peppers,17,Forecasted,+7.76%,+12.60%,2.37,2.37,1.58,3.16,3.16,2.37,1.58
Garlic mayo,21,Forecasted,+5.13%,+9.85%,3,3,2,4,4,3,2
Hot sauce,1,Forecasted,+14.34%,+5.63%,0.13,0.13,0.09,0.17,0.17,0.13,0.09
Burger cheese,2,Forecasted,+10.01%,+9.57%,0.27,0.27,0.18,0.36,0.36,0.27,0.18
Cabbage,34,Forecasted,+8.15%,+12.58%,4.72,4.72,3.14,6.29,6.29,4.72,3.14
Mushrooms,7,Forecasted,+11.52%,+15.70%,0.94,0.94,0.63,1.26,1.26,0.94,0.63
Miso,2,Forecasted,+75.24%,+81.82%,0.17,0.17,0.11,0.23,0.23,0.17,0.11
Nori mayo,4,Forecasted,+37.53%,+42.69%,0.44,0.44,0.29,0.58,0.58,0.44,0.29
Red lettuce,44,Forecasted,+7.09%,+11.11%,6.16,6.16,4.11,8.22,8.22,6.16,4.11
Caramelised onions,5,Forecasted,+9.56%,+9.10%,0.68,0.68,0.46,0.91,0.91,0.68,0.46
Burger,108,Forecasted,+5.90%,+5.46%,15.3,15.3,10.2,20.4,20.4,15.3,10.2
Red onions,2,Forecasted,+34.08%,+33.52%,0.22,0.22,0.15,0.3,0.3,0.22,0.15
Burger mayo,7,Forecasted,+13.71%,+13.24%,0.92,0.92,0.62,1.23,1.23,0.92,0.62
Coca cola,11,Par level,+9.20%,+2.33%,1.51,1.51,1.01,2.01,2.01,1.51,1.01
Japanese mayo,38,Forecasted,+5.96%,+10.41%,5.38,5.38,3.59,7.17,7.17,5.38,3.59
Pork,6,Forecasted,+17.11%,+22.03%,0.77,0.77,0.51,1.02,1.02,0.77,0.51
Apple jam,5,Forecasted,+11.54%,+16.22%,0.67,0.67,0.45,0.9,0.9,0.67,0.45
Toncutlet,3,Forecasted,+46.39%,+52.54%,0.31,0.31,0.2,0.41,0.41,0.31,0.2
Water,6,Par level,+10.13%,+7.46%,0.82,0.82,0.54,1.09,1.09,0.82,0.54
Craft beer,1,Par level,+23.08%,+9.09%,0.12,0.12,0.08,0.16,0.16,0.12,0.08
Coleslaw,183,Par level,+5.48%,+21.19%,26.02,26.02,17.35,34.7,34.7,26.02,17.35
Ice tea,236,Par level,+5.43%,+74.81%,33.58,33.58,22.38,44.77,44.77,33.58,22.38
Pork tater tots,283,Par level,+5.37%,+15.51%,40.29,40.29,26.86,53.71,53.71,40.29,26.86
Dry beef,137,Par level,+5.38%,-47.31%,19.5,19.5,13,26,26,19.5,13
